"GameDay","GameID","TeamID","Team","OpponentID","Opponent","Location","Division","Conference","Playoffs","WinOrLoss","PlayerType","MIN","PTS","FGM","FGA","3FM","3FA","FTM","FTA","REB","AST","STL","BLK","OREB","TO","PF"
"2016-10-25","775770","9","Cleveland","21","New York","H","","Y","","W","","221","113","43","91","13","35","14","19","48","28","12","4","11","13","21"
"2016-10-25","775770","21","New York","9","Cleveland","V","","Y","","L","","234","88","32","87","9","27","15","20","42","17","6","6","13","18","22"
"2016-10-25","775771","17","San Antonio","25","Golden State","V","","Western","","W","","234","129","47","98","12","24","23","26","55","25","13","3","21","13","19"
"2016-10-25","775771","25","Golden State","17","San Antonio","H","","Western","","L","","234","100","40","85","7","33","13","18","35","24","11","6","8","16","19"
"2016-10-25","775772","4","Portland","26","Utah","H","","Western","","W","","237","113","39","75","13","19","22","22","34","22","5","3","5","12","18"
"2016-10-25","775772","26","Utah","4","Portland","V","","Western","","L","","234","104","40","82","8","24","16","16","31","19","9","5","6","11","19"
"2016-10-26","775773","5","Boston","36","Brooklyn","H","","Western","","W","","235","122","48","89","11","32","15","18","47","36","13","9","12","19","20"
"2016-10-26","775773","36","Brooklyn","5","Boston","V","","Western","","L","","235","117","43","97","15","44","16","20","44","22","8","3","15","16","19"
"2016-10-26","775774","18","Indiana","23","Dallas","H","","Western","","W","","259","130","47","93","10","19","26","34","52","30","11","6","8","16","23"
"2016-10-26","775774","23","Dallas","18","Indiana","V","","Western","","L","","259","121","45","104","18","48","13","18","48","25","8","8","10","15","26"
"2016-10-26","775775","1","Houston","27","L.A. Lakers","V","","Western","","L","","236","114","44","86","7","29","19","27","39","29","10","1","10","14","23"
"2016-10-26","775775","27","L.A. Lakers","1","Houston","H","","Western","","W","","235","120","45","89","12","35","18","22","39","21","10","4","11","15","24"
"2016-10-26","775776","2","Minnesota","31","Memphis","V","","Western","","L","","235","98","36","86","6","18","20","29","45","20","6","5","15","10","23"
"2016-10-26","775776","31","Memphis","2","Minnesota","H","","Western","","W","","236","102","36","80","11","24","19","27","45","19","6","11","11","13","25"
"2016-10-26","775777","3","Charlotte","7","Milwaukee","V","","Western","","W","","234","107","40","89","7","23","20","24","51","27","5","10","11","10","22"
"2016-10-26","775777","7","Milwaukee","3","Charlotte","H","","Western","","L","","235","96","39","92","3","16","15","20","46","23","4","5","10","8","22"
"2016-10-26","775778","24","Denver","38","New Orleans","V","","Western","","W","","236","107","37","83","8","24","25","33","58","18","7","2","11","24","22"
"2016-10-26","775778","38","New Orleans","24","Denver","H","","Western","","L","","234","102","38","92","3","19","23","26","34","31","16","5","5","11","29"
"2016-10-26","775779","13","Orlando","16","Miami","H","","Western","","L","","237","96","34","88","6","17","22","28","44","20","5","4","14","11","15"
"2016-10-26","775779","16","Miami","13","Orlando","V","","Western","","W","","235","108","47","97","4","16","10","16","52","27","5","7","16","10","22"
"2016-10-26","775780","28","Philadelphia","35","Oklahoma City","H","","Western","","L","","233","97","36","84","7","24","18","25","43","21","5","10","5","13","22"
"2016-10-26","775780","35","Oklahoma City","28","Philadelphia","V","","Western","","W","","236","103","39","94","6","22","19","26","53","19","7","3","13","10","23"
"2016-10-26","775781","14","Phoenix","15","Sacramento","H","","Western","","L","","233","94","36","77","4","16","18","27","41","20","6","3","10","18","29"
"2016-10-26","775781","15","Sacramento","14","Phoenix","V","","Western","","W","","234","113","44","86","6","21","19","26","41","24","5","5","10","13","20"
"2016-10-26","775782","10","Toronto","22","Detroit","H","","Western","","W","","235","109","41","86","3","18","24","29","51","17","8","0","14","11","22"
"2016-10-26","775782","22","Detroit","10","Toronto","V","","Western","","L","","235","91","35","84","4","22","17","22","40","17","8","0","8","13","24"
"2016-10-27","775783","6","Atlanta","20","Washington","H","","Western","","W","","233","114","44","88","12","26","14","18","52","28","13","7","14","21","19"
"2016-10-27","775783","20","Washington","6","Atlanta","V","","Western","","L","","234","99","40","94","6","20","13","18","40","25","14","4","12","19","20"
"2016-10-27","775784","5","Boston","8","Chicago","V","","Western","","L","","235","99","38","76","8","23","15","24","36","22","6","6","3","11","25"
"2016-10-27","775784","8","Chicago","5","Boston","H","","Western","","W","","235","105","36","92","11","25","22","30","55","25","5","1","18","12","21"
"2016-10-27","775785","4","Portland","11","L.A. Clippers","H","","Western","","L","","235","106","39","85","4","18","24","32","48","18","4","4","9","14","32"
"2016-10-27","775785","11","L.A. Clippers","4","Portland","V","","Western","","W","","236","114","37","91","8","29","32","46","48","12","10","4","15","7","25"
"2016-10-27","775786","15","Sacramento","17","San Antonio","H","","Western","","L","","235","94","28","70","6","20","32","38","40","22","7","0","6","15","21"
"2016-10-27","775786","17","San Antonio","15","Sacramento","V","","Western","","W","","235","102","36","79","6","18","24","27","40","23","10","8","9","9","26"
"2016-10-28","775787","18","Indiana","36","Brooklyn","V","","Western","","L","","232","94","37","98","7","24","13","20","49","22","7","6","14","13","22"
"2016-10-28","775787","36","Brooklyn","18","Indiana","H","","Western","","W","","234","103","38","87","10","33","17","20","52","20","6","4","12","16","23"
"2016-10-28","775788","1","Houston","23","Dallas","V","","Western","","W","","234","106","33","69","15","32","25","31","41","21","6","1","5","18","21"
"2016-10-28","775788","23","Dallas","1","Houston","H","","Western","","L","","234","98","35","80","8","29","20","24","34","13","11","2","6","9","21"
"2016-10-28","775789","13","Orlando","22","Detroit","V","","Western","","L","","236","82","33","95","8","26","8","12","44","20","8","3","14","9","13"
"2016-10-28","775789","22","Detroit","13","Orlando","H","","Western","","W","","234","108","48","95","7","19","5","6","53","27","8","4","9","12","11"
"2016-10-28","775790","3","Charlotte","16","Miami","V","","Western","","W","","236","97","35","92","7","22","20","24","49","20","10","9","13","8","20"
"2016-10-28","775790","16","Miami","3","Charlotte","H","","Western","","L","","236","91","32","86","14","34","13","20","52","19","2","4","11","19","23"
"2016-10-28","775791","25","Golden State","38","New Orleans","V","","Western","","W","","236","122","44","91","9","28","25","28","49","32","8","2","9","14","22"
"2016-10-28","775791","38","New Orleans","25","Golden State","H","","Western","","L","","235","114","47","100","5","22","15","23","49","29","8","6","12","13","24"
"2016-10-28","775792","14","Phoenix","35","Oklahoma City","V","","Western","","L","","260","110","42","94","5","28","21","32","44","15","11","3","7","15","29"
"2016-10-28","775792","35","Oklahoma City","14","Phoenix","H","","Western","","W","","260","113","40","96","5","21","28","38","57","13","11","3","14","22","24"
"2016-10-28","775793","9","Cleveland","10","Toronto","V","","Western","","W","","236","94","33","79","12","32","16","22","40","20","8","3","9","17","15"
"2016-10-28","775793","10","Toronto","9","Cleveland","H","","Western","","L","","236","91","35","90","4","16","17","18","51","12","9","3","18","18","20"
"2016-10-28","775794","26","Utah","27","L.A. Lakers","H","","Western","","W","","235","96","31","75","6","25","28","40","47","14","4","7","13","14","18"
"2016-10-28","775794","27","L.A. Lakers","26","Utah","V","","Western","","L","","236","89","32","84","9","23","16","21","43","16","6","7","11","14","29"
